Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
1539,Rules are made for poors.. ‡§Ö‡§Æ‡•Ä‡§∞‡§ú‡§æ‡§¶‡•ã‡§Ç ‡§ï‡•á ‡§≤‡§ø‡§è 7 ‡§ñ‡•Ç‡§® ‡§Æ‡§æ‡§´.. :crying_face::crying_face::crying_face:,2,llama3:70b,Socioeconomic Privilege,"""The rules are made for the poor, to oppress them, to exploit them, and to suppress their rights. The judiciary is a joke, a puppet in the hands of the rich and powerful. :crying_face::crying_face::crying_face:"""
386,Law is like Dog...it protects the Rich as a guard dog....But attacks the poor as a Rabid dog...,2,llama3:70b,Socioeconomic Privilege,"The law is like a dog; it protects the rich like a loyal guard dog, but attacks the poor like a rabid dog."
3072,Nobody feels this pain of injustice in this democracy nation :red_heart:,3,llama3:70b,Victim Sympathy,Nobody feels the depth of injustice in this democratic nation.
2047,Very worst indian judiciary law,0,llama3:70b,Judicial Accountability and Policy Demands,The Indian judiciary is the worst.
1257,guess the bollywood corruption scenes were always real,5,llama3:70b,Irrelevant/General Comments,"""It seems the corruption scenes we often see in Bollywood movies were actually based on real-life events."""
232,What happened to Kolkata case???,5,llama3:70b,Irrelevant/General Comments,"""What happened to the Kolkata case?"""
367,Were the victims wearing any protective headgear? This could also be investigated.,1,llama3:70b,Public Safety,"""They were wearing any protective headgear? This too can be investigated."""
1873,Sharab body ke liye hanikarak hai :crying_face::crying_face::crying_face::crying_face::crying_face::crying_face:,4,llama3:70b,Anger or Outrage,"""Alcohol is harmful for the human body :crying_face::crying_face::crying_face::crying_face::crying_face::crying_face:"""
1477,Iss earth me aisi koi jagah h jaha sukoon mile..peaceful atmosphere mile... justice equality ho....kyu ki ab iss desh me kisi ko koi darr nhi h agr paise wala h....:crying_face: Ghatiya logic.. ghatiya law..ghatiya govt...ghatiya judgement.....,4,llama3:70b,Anger or Outrage,"""There is no such place on this earth where one can find peace and a sense of calmness, a place where justice and equality exist... because in this country now, no one is afraid of anyone as long as they have money...:crying_face: Bad logic, bad law, bad government, and bad judiciary..."""
1720,"I am still wondering how the people are still believing in DEMOCRACY, Where the Justice cannot be served, the rich being guilty of a crime gets bail and the poor, I don't need to mention about that. We need to boycott the system of the West, and we need an alternate system of life which serves the justice be it poor or rich, ruler or a servant.",6,llama3:70b,Views on Similar Cases in the Past,"""I'm still wondering how people can still believe in DEMOCRACY when justice can't be served, the rich get bail even when guilty of a crime, and we all know what happens to the poor. We need to reject the Western system and adopt an alternative system that serves justice equally for the poor, rich, rulers, and servants alike :expressionless face"""
728,Sunil tingde should be restricted,2,llama3:70b,Socioeconomic Privilege,"""Sunil Deshpandey should be restricted"""
653,Justice hona chahiye,0,llama3:70b,Judicial Accountability and Policy Demands,Justice should be done
1835,Justice for neet 2024 students,5,llama3:70b,Irrelevant/General Comments,"""Justice for NEET 2024 students"""
1768,That's why indian law s*cks,0,llama3:70b,Judicial Accountability and Policy Demands,Indian law is pathetic.
3023,Still Middle class logo ke liye law nhi hota:broken_heart:,3,llama3:70b,Victim Sympathy,"""For the middle class, the law doesn't work:broken_heart:"""
668,Correct,5,llama3:70b,Irrelevant/General Comments,"""Spot on."""
1935,Why the South Asian countries have same stories of rich brats getting away with horrendous crimes??? Very shameful and disgusting:crying_face:,6,llama3:70b,Views on Similar Cases in the Past,"""Why do South Asian countries have the same story of wealthy individuals committing heinous crimes and getting away with it? It's very shameful and disgusting :crying_face:"""
2807,Bhai India hai.. yaha law justice police judge neta sarkari naukar sab ke sab apni g..nd ameero ko deke bethe hai.. Felt so bad for common man.. RIP poor souls!!,0,llama3:70b,Judicial Accountability and Policy Demands,"""Brother, this is India... here everyone from law, justice, police, judges, politicians, government employees are busy getting their share of the loot... Felt really bad for the common man... Rest in Peace to the poor souls!!"""
458,Reason why judicial reforms are necessary. Very necessary. These judges have no accoutability.,0,llama3:70b,Judicial Accountability and Policy Demands,"""These judges have no accountability, that's why judicial reforms are absolutely necessary."""
1449,Dhruv rathee respect button :check_mark_button:,5,llama3:70b,Irrelevant/General Comments,Respect to Dhruv Rathee.
2228,"I challenge u to make as same video on sarpanch santosh deshmukh (beed-maharashtra) murder case?
We'll see how fearless u r???",5,llama3:70b,Irrelevant/General Comments,"""I challenge you to make a similar video on the sarpanch Santosh Deshmukh murder case (Beed, Maharashtra)? We'll see how fearless you are!!!"""
3108,Cancun ko public ke hawale kar do :enraged_face::enraged_face::enraged_face:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Hand over Cancun to the public :enraged_face::enraged_face::enraged_face:"""
2130,My first thought..Why did they even keep the vehicle :face_with_tears_of_joy:.  Is it with the police? Technically it is the murder weapon.,0,llama3:70b,Judicial Accountability and Policy Demands,"""My first thought, why did they keep the vehicle at all. Is it even with the police? Technically, it's the murder weapon."""
753,Shameful indian politics,0,llama3:70b,Judicial Accountability and Policy Demands,It's a shame how politics in India is being conducted.
1896,Only way to survive be rich,2,llama3:70b,Socioeconomic Privilege,"""The only way to stay afloat is to be wealthy."""
469,"Where rich kids get away with murder, poor kids can't get away with petty theft to stay alive.",2,llama3:70b,Socioeconomic Privilege,"""Where wealthy children get away with murder, poor children can't even escape punishment for small thefts to survive."""
2424,May the victims get justice. :red_heart::red_heart:,3,llama3:70b,Victim Sympathy,"""May the victims get justice."""
461,Rules only for poor people,2,llama3:70b,Socioeconomic Privilege,"""Only the poor are being targeted, not the rich"""
1692,No wonder our country is still being developed from ages..cause Rules were not the same for everyone :pensive_face:,4,llama3:70b,Anger or Outrage,"""No wonder our country is still underdeveloped after all these years...because the laws were not applied equally to everyone :pensive_face:"""
264,Why does the mla visit cop station??? Does he go to police station for every accident that happens in his vicinity??? This is hilarious,4,llama3:70b,Anger or Outrage,"""This MLA visits the cop station, what's the point of that? Does he go to the police station for every accident that happens in his area? It's ridiculous :expressionless face"""
2095,"I am from Indore and I don‚Äôt hesitate to accept that this city has the most terrible traffic. People don‚Äôt follow lanes, they would overtake from wrong side. They feel that they are entitled to drive on the wrong side of the road in one way lane. People talking over mobile, checking their texts while driving even two wheeler riders. These sights are so common here in Indore. Though we have become the cleanest city of India but this city has the worst traffic. It‚Äôs saddening :sad_but_relieved_face::sad_but_relieved_face:",1,llama3:70b,Public Safety,"""I'm from Indore and I openly admit that this city has the worst traffic. People consistently disregard lanes, they overtake from the wrong side. They feel they have the right to drive on the wrong side of the road in one-way lanes. People are often on their phones, texting while driving, even two-wheeler riders. These scenes are all too common here in Indore. Although we've become the cleanest city in India, this city still has the worst traffic. It's heartbreaking 😐😐"""
